CoordX,CoordY
137287.5,458687.5
137287.5,458662.5
137237.5,458612.5
136087.5,458462.5
136012.5,458437.5
136237.5,458387.5
136087.5,458362.5
136062.5,458337.5
136137.5,458337.5
136187.5,458337.5
137012.5,458187.5
134812.5,458062.5
137712.5,457662.5
137737.5,457637.5
137762.5,457637.5
137787.5,457637.5
135587.5,457612.5
135712.5,457537.5
134887.5,457412.5
134862.5,457387.5
134887.5,457387.5
134912.5,457387.5
135087.5,457237.5
135112.5,457187.5
135212.5,457162.5
135312.5,457137.5
136887.5,457137.5
136912.5,457137.5
137812.5,457137.5
135162.5,457112.5
136887.5,457112.5
135262.5,457062.5
136362.5,456987.5
136362.5,456962.5
135887.5,456937.5
136437.5,456837.5
137412.5,456787.5
137337.5,456762.5
137737.5,456762.5
137737.5,456712.5
137837.5,456687.5
135662.5,456637.5
136237.5,456587.5
135737.5,456562.5
136237.5,456562.5
135862.5,456487.5
135837.5,456462.5
135887.5,456462.5
135937.5,456437.5
137362.5,456387.5
137437.5,456387.5
136937.5,456362.5
137337.5,456362.5
136487.5,456337.5
136812.5,456337.5
136662.5,456312.5
136687.5,456312.5
136487.5,456287.5
136662.5,456287.5
136662.5,456262.5
135062.5,456212.5
135087.5,456212.5
136637.5,456162.5
136737.5,456162.5
136237.5,456137.5
136462.5,456137.5
135487.5,456087.5
136662.5,456087.5
135537.5,456037.5
135562.5,456037.5
136462.5,456037.5
136237.5,456012.5
136512.5,456012.5
136612.5,456012.5
137387.5,456012.5
135537.5,455987.5
136312.5,455987.5
136737.5,455987.5
134712.5,455962.5
135487.5,455962.5
135512.5,455962.5
135537.5,455962.5
135562.5,455962.5
136312.5,455962.5
137462.5,455962.5
137512.5,455962.5
134737.5,455937.5
134762.5,455937.5
135312.5,455937.5
135337.5,455937.5
135487.5,455937.5
135537.5,455937.5
136287.5,455937.5
136362.5,455937.5
137487.5,455937.5
136462.5,455912.5
136712.5,455912.5
136887.5,455912.5
136037.5,455887.5
136387.5,455887.5
136412.5,455887.5
136612.5,455887.5
134662.5,455862.5
135587.5,455862.5
136087.5,455862.5
135987.5,455837.5
135962.5,455812.5
136037.5,455812.5
136162.5,455812.5
136312.5,455812.5
136512.5,455812.5
136637.5,455812.5
136712.5,455812.5
136187.5,455787.5
136587.5,455787.5
136662.5,455787.5
136687.5,455787.5
137712.5,455787.5
136037.5,455762.5
136187.5,455762.5
135962.5,455737.5
135987.5,455737.5
137712.5,455737.5
137737.5,455737.5
135812.5,455712.5
136062.5,455712.5
137737.5,455712.5
135012.5,455687.5
135912.5,455687.5
136237.5,455687.5
136787.5,455687.5
137762.5,455687.5
135937.5,455662.5
136037.5,455662.5
136062.5,455662.5
136737.5,455662.5
137812.5,455662.5
136012.5,455612.5
134287.5,455487.5
134312.5,455487.5
134337.5,455412.5
137112.5,455412.5
138237.5,455212.5
135937.5,455112.5
136912.5,455087.5
136912.5,455062.5
136912.5,455012.5
136937.5,455012.5
136912.5,454962.5
138112.5,454962.5
136912.5,454937.5
136937.5,454937.5
137662.5,454937.5
137712.5,454937.5
136937.5,454912.5
137662.5,454912.5
136162.5,454762.5
136837.5,454562.5
138337.5,454537.5
138362.5,454537.5
136387.5,454462.5
136312.5,454387.5
136312.5,454362.5
136287.5,454337.5
136312.5,454337.5
136787.5,454287.5
136262.5,454262.5
136287.5,454137.5
136837.5,454137.5
134862.5,454112.5
134887.5,454112.5
134962.5,454087.5
135012.5,454062.5
135037.5,454062.5
134887.5,454037.5
134937.5,454037.5
134987.5,454037.5
134937.5,454012.5
136612.5,453962.5
136912.5,453862.5
136987.5,453862.5
136937.5,453837.5
136962.5,453837.5
136937.5,453812.5
137037.5,453812.5
136987.5,453787.5
137012.5,453787.5
137012.5,453762.5
136237.5,453737.5
136712.5,453412.5
