CoordX,CoordY
136387.5,459037.5
136787.5,459012.5
136812.5,459012.5
136512.5,458987.5
136487.5,458962.5
136212.5,458937.5
136537.5,458937.5
137062.5,458887.5
136512.5,458862.5
136662.5,458862.5
136787.5,458862.5
137087.5,458837.5
136862.5,458762.5
135762.5,458737.5
137462.5,458737.5
136137.5,458687.5
135787.5,458662.5
136112.5,458662.5
137037.5,458637.5
137287.5,458637.5
136212.5,458612.5
136387.5,458587.5
136887.5,458587.5
135087.5,458562.5
135787.5,458562.5
136462.5,458562.5
136362.5,458537.5
136437.5,458537.5
137612.5,458537.5
135712.5,458512.5
136137.5,458512.5
134912.5,458487.5
135712.5,458487.5
137237.5,458487.5
134787.5,458437.5
134862.5,458437.5
136012.5,458437.5
136062.5,458437.5
136137.5,458437.5
136162.5,458437.5
136187.5,458437.5
134812.5,458412.5
136037.5,458412.5
137162.5,458412.5
136087.5,458387.5
137562.5,458387.5
138312.5,458387.5
138837.5,458387.5
134762.5,458362.5
136187.5,458362.5
137262.5,458362.5
137587.5,458362.5
138362.5,458362.5
135062.5,458337.5
136162.5,458337.5
137012.5,458337.5
137712.5,458337.5
138562.5,458337.5
135062.5,458287.5
136562.5,458287.5
135762.5,458262.5
137112.5,458262.5
137262.5,458262.5
136437.5,458237.5
137237.5,458237.5
137337.5,458237.5
134837.5,458187.5
136712.5,458187.5
134862.5,458162.5
135012.5,458162.5
136812.5,458162.5
137862.5,458162.5
134587.5,458137.5
135012.5,458137.5
137537.5,458137.5
137612.5,458137.5
134962.5,458112.5
135012.5,458112.5
135187.5,458112.5
136287.5,458112.5
136487.5,458112.5
136937.5,458112.5
138287.5,458112.5
138562.5,458112.5
135087.5,458087.5
136512.5,458087.5
138412.5,458087.5
134562.5,458062.5
137087.5,458062.5
139012.5,458062.5
134987.5,458037.5
135187.5,458037.5
135262.5,458037.5
136787.5,458037.5
137712.5,458037.5
138587.5,458037.5
134562.5,458012.5
134937.5,458012.5
135262.5,458012.5
135512.5,458012.5
138587.5,458012.5
139012.5,458012.5
134662.5,457987.5
135037.5,457987.5
138637.5,457987.5
135462.5,457962.5
136537.5,457962.5
134687.5,457937.5
134987.5,457937.5
135587.5,457937.5
137237.5,457937.5
135337.5,457912.5
135362.5,457912.5
135787.5,457912.5
136237.5,457912.5
137212.5,457912.5
137887.5,457912.5
134662.5,457887.5
135337.5,457887.5
135562.5,457887.5
135637.5,457887.5
135937.5,457887.5
136912.5,457887.5
134687.5,457862.5
134987.5,457862.5
138362.5,457862.5
138487.5,457862.5
134987.5,457837.5
135512.5,457837.5
135787.5,457837.5
135912.5,457837.5
136312.5,457837.5
137262.5,457837.5
138437.5,457837.5
134587.5,457812.5
135662.5,457812.5
136312.5,457812.5
136762.5,457812.5
134487.5,457787.5
134562.5,457787.5
136337.5,457787.5
137262.5,457787.5
137587.5,457787.5
134712.5,457762.5
135212.5,457762.5
137062.5,457762.5
138587.5,457762.5
134587.5,457737.5
137162.5,457737.5
137562.5,457737.5
138662.5,457737.5
134687.5,457712.5
134737.5,457712.5
138037.5,457712.5
135462.5,457687.5
135537.5,457687.5
134537.5,457662.5
134812.5,457662.5
136612.5,457662.5
136912.5,457662.5
137437.5,457662.5
137712.5,457662.5
136037.5,457637.5
137762.5,457637.5
138362.5,457637.5
137112.5,457612.5
137762.5,457612.5
137837.5,457612.5
134712.5,457587.5
134737.5,457587.5
134912.5,457587.5
135387.5,457587.5
135737.5,457587.5
135462.5,457562.5
135662.5,457562.5
136037.5,457562.5
136287.5,457562.5
138537.5,457562.5
135212.5,457537.5
135712.5,457537.5
136412.5,457537.5
137062.5,457537.5
137387.5,457537.5
135512.5,457512.5
137637.5,457512.5
134712.5,457487.5
135287.5,457487.5
136762.5,457487.5
137387.5,457487.5
137862.5,457487.5
134987.5,457462.5
136212.5,457462.5
136387.5,457462.5
136612.5,457462.5
137512.5,457462.5
137887.5,457462.5
134762.5,457437.5
135562.5,457437.5
136437.5,457437.5
136787.5,457437.5
137637.5,457437.5
138037.5,457437.5
138587.5,457437.5
134837.5,457412.5
136662.5,457412.5
138637.5,457412.5
134262.5,457387.5
135112.5,457387.5
136437.5,457387.5
136887.5,457387.5
134562.5,457362.5
136912.5,457362.5
137912.5,457362.5
137987.5,457362.5
134612.5,457337.5
135112.5,457337.5
136637.5,457337.5
136837.5,457337.5
134737.5,457312.5
134862.5,457312.5
135037.5,457312.5
135237.5,457312.5
135587.5,457312.5
137712.5,457312.5
138087.5,457312.5
138162.5,457312.5
135737.5,457287.5
136012.5,457287.5
138387.5,457287.5
134987.5,457262.5
135387.5,457262.5
136687.5,457262.5
136862.5,457262.5
134337.5,457237.5
134462.5,457237.5
136687.5,457237.5
138162.5,457237.5
135112.5,457212.5
136087.5,457212.5
136787.5,457212.5
134887.5,457187.5
136662.5,457187.5
135587.5,457162.5
135662.5,457162.5
136512.5,457162.5
136687.5,457162.5
134912.5,457137.5
136462.5,457137.5
137112.5,457137.5
137337.5,457137.5
134337.5,457112.5
135787.5,457112.5
136087.5,457112.5
136337.5,457112.5
137062.5,457112.5
138137.5,457112.5
134512.5,457087.5
136512.5,457087.5
136837.5,457087.5
137387.5,457087.5
134237.5,457062.5
134312.5,457062.5
136587.5,457062.5
136737.5,457062.5
136812.5,457062.5
137037.5,457062.5
137712.5,457062.5
137837.5,457062.5
137937.5,457062.5
138112.5,457062.5
135512.5,457037.5
136412.5,457037.5
136587.5,457037.5
136612.5,457037.5
137012.5,457037.5
137987.5,457037.5
135212.5,457012.5
135387.5,457012.5
136262.5,457012.5
136937.5,457012.5
137837.5,457012.5
138137.5,457012.5
134437.5,456987.5
135187.5,456987.5
135287.5,456987.5
135887.5,456987.5
136062.5,456987.5
136287.5,456987.5
136687.5,456987.5
136937.5,456987.5
137862.5,456987.5
135012.5,456962.5
136662.5,456962.5
137812.5,456962.5
135712.5,456937.5
134887.5,456912.5
135487.5,456912.5
135512.5,456912.5
136962.5,456912.5
135387.5,456887.5
135987.5,456887.5
137437.5,456887.5
137687.5,456887.5
137962.5,456887.5
134087.5,456862.5
136212.5,456862.5
136312.5,456862.5
136812.5,456862.5
137612.5,456862.5
134512.5,456837.5
135537.5,456837.5
136337.5,456837.5
136562.5,456837.5
137387.5,456837.5
137937.5,456837.5
138087.5,456837.5
134062.5,456812.5
134112.5,456812.5
134337.5,456812.5
136187.5,456812.5
137712.5,456812.5
138087.5,456812.5
139237.5,456812.5
134487.5,456787.5
134937.5,456787.5
135712.5,456787.5
136212.5,456787.5
136687.5,456787.5
137587.5,456787.5
139237.5,456787.5
136162.5,456762.5
137762.5,456762.5
135987.5,456737.5
136587.5,456737.5
139062.5,456737.5
134162.5,456712.5
135962.5,456712.5
137537.5,456712.5
137637.5,456712.5
137962.5,456712.5
134212.5,456687.5
134237.5,456687.5
134862.5,456687.5
136512.5,456687.5
136612.5,456687.5
136662.5,456687.5
137862.5,456687.5
136362.5,456662.5
136662.5,456662.5
136762.5,456662.5
136787.5,456662.5
137012.5,456662.5
138162.5,456662.5
134562.5,456637.5
135712.5,456637.5
136212.5,456637.5
136762.5,456637.5
137237.5,456637.5
138187.5,456637.5
135762.5,456612.5
135962.5,456587.5
136237.5,456587.5
136612.5,456587.5
136862.5,456587.5
137362.5,456587.5
136412.5,456562.5
136487.5,456562.5
136612.5,456562.5
133987.5,456537.5
136112.5,456537.5
137212.5,456537.5
137537.5,456537.5
138187.5,456537.5
138162.5,456512.5
134462.5,456487.5
135912.5,456487.5
137412.5,456487.5
137662.5,456487.5
134287.5,456462.5
134837.5,456462.5
136612.5,456462.5
137037.5,456462.5
137337.5,456462.5
138112.5,456462.5
134187.5,456437.5
134362.5,456437.5
134612.5,456437.5
136412.5,456437.5
136562.5,456437.5
137037.5,456437.5
137287.5,456437.5
134312.5,456412.5
134812.5,456412.5
135037.5,456412.5
135062.5,456412.5
135837.5,456412.5
135862.5,456412.5
136337.5,456412.5
136912.5,456412.5
137012.5,456412.5
137362.5,456412.5
137412.5,456412.5
135737.5,456387.5
135862.5,456387.5
136212.5,456387.5
136262.5,456387.5
134437.5,456362.5
135762.5,456362.5
135787.5,456362.5
136087.5,456362.5
136487.5,456362.5
136787.5,456362.5
137637.5,456362.5
134112.5,456337.5
136262.5,456337.5
136662.5,456337.5
136762.5,456337.5
135112.5,456312.5
136412.5,456312.5
136537.5,456312.5
136937.5,456312.5
137062.5,456312.5
137262.5,456312.5
137762.5,456312.5
138937.5,456312.5
138987.5,456312.5
134937.5,456287.5
135037.5,456287.5
135587.5,456287.5
136087.5,456287.5
136137.5,456287.5
136437.5,456287.5
136512.5,456287.5
136987.5,456287.5
137337.5,456287.5
134512.5,456262.5
135112.5,456262.5
135412.5,456262.5
134537.5,456237.5
135237.5,456237.5
136187.5,456237.5
136362.5,456237.5
136562.5,456237.5
136712.5,456237.5
134512.5,456212.5
135187.5,456212.5
135362.5,456212.5
135662.5,456212.5
136112.5,456212.5
136362.5,456212.5
137087.5,456212.5
137387.5,456212.5
137637.5,456212.5
134512.5,456187.5
136112.5,456187.5
136212.5,456187.5
136687.5,456187.5
136712.5,456187.5
137562.5,456187.5
137812.5,456187.5
134937.5,456162.5
135312.5,456162.5
135512.5,456162.5
135837.5,456162.5
136262.5,456162.5
134712.5,456137.5
136262.5,456137.5
137112.5,456137.5
138137.5,456137.5
138687.5,456137.5
139037.5,456137.5
134387.5,456112.5
135912.5,456112.5
136537.5,456112.5
136912.5,456112.5
139062.5,456112.5
134537.5,456087.5
134937.5,456087.5
134962.5,456087.5
135287.5,456087.5
137012.5,456087.5
137087.5,456087.5
137312.5,456087.5
137387.5,456087.5
137537.5,456087.5
138962.5,456087.5
139087.5,456087.5
134787.5,456062.5
134912.5,456062.5
135287.5,456062.5
135362.5,456062.5
136437.5,456062.5
136487.5,456062.5
136687.5,456062.5
137237.5,456062.5
137362.5,456062.5
137512.5,456062.5
137787.5,456062.5
134562.5,456037.5
134737.5,456037.5
136237.5,456037.5
136737.5,456037.5
137337.5,456037.5
137437.5,456037.5
138587.5,456037.5
138637.5,456037.5
134387.5,456012.5
134837.5,456012.5
135362.5,456012.5
135537.5,456012.5
136262.5,456012.5
136737.5,456012.5
134912.5,455987.5
135237.5,455987.5
135537.5,455987.5
136412.5,455987.5
136512.5,455987.5
137312.5,455987.5
138862.5,455987.5
134012.5,455962.5
136262.5,455962.5
136987.5,455962.5
137012.5,455962.5
134587.5,455937.5
136012.5,455937.5
136162.5,455937.5
