x,y,x_initial,x_value
125012.5,462387.5,-0.3390045449446285,-0.2702854500333546
131562.5,461812.5,-0.22287529774178894,-0.155964553643985
128537.5,461787.5,0.30179986337029585,0.3990984169589876
131562.5,461787.5,-0.2788266330738486,-0.23709036554151547
131612.5,461737.5,0.37029035421262146,0.387718060932144
131637.5,461712.5,0.25729526912102973,0.27251563126574546
131237.5,461662.5,-0.49921336501967983,-0.4930659973442804
131262.5,461662.5,-0.42459372082865665,-0.42016880231769277
131287.5,461662.5,-0.0618122043048861,-0.014463589122528847
131312.5,461662.5,-0.4351416764389837,-0.4064829361945993
129337.5,461587.5,0.026813451587781034,0.06251144509123491
131237.5,461587.5,-0.1550117270077398,-0.09275359586879865
131187.5,461512.5,-0.3504055653368976,-0.2512373375031555
131212.5,461512.5,0.0012530460133772792,0.017175356713089052
131187.5,461312.5,-0.16238669414920226,-0.14691076583346538
131212.5,461312.5,0.2061733264920742,0.2602796325084746
140437.5,461287.5,0.4852769147764201,0.5364053695265045
130462.5,460912.5,0.46279731450610373,0.562045384725054
130537.5,460812.5,0.3673277517043121,0.38561079231531403
130562.5,460812.5,0.35699496280627163,0.43707466216440694
130487.5,460787.5,0.3647092665753985,0.4104854883535136
130512.5,460787.5,-0.18215429462858834,-0.1562643206066422
130562.5,460787.5,-0.3092203217798244,-0.24592109570730208
130587.5,460787.5,-0.024731522280106,0.0068930034907211946
130462.5,460762.5,-0.03273769957656847,-0.012185647999749957
130487.5,460762.5,0.4721384546455748,0.4755315728657716
130512.5,460762.5,0.016778950395494596,0.04615100688653405
130487.5,460737.5,-0.3222020877324012,-0.2572164873013619
129662.5,460562.5,-0.21085044036400002,-0.14471949578811688
138812.5,460137.5,-0.10983534201135947,-0.10668839468541527
141562.5,460137.5,0.36232158884278354,0.44299750905942326
142537.5,460087.5,-0.20524382757579773,-0.1832792100985721
142687.5,460087.5,0.4912282115365051,0.5570002343020661
142837.5,459987.5,-0.45015240524388356,-0.44368312097586515
142837.5,459962.5,0.23438489968487997,0.24459727942093484
134912.5,459812.5,-0.46727456258730304,-0.4181452639310516
141462.5,459712.5,0.24096964622697192,0.2701405624084208
130387.5,459637.5,0.23025889135843902,0.27642879554255867
128387.5,459312.5,0.09076089883523863,0.16721527610377337
135962.5,459212.5,-0.21544677361550102,-0.1958949939706599
135962.5,459187.5,-0.02696831566157587,-0.0248954940859508
141162.5,459137.5,-0.37563785873792765,-0.3206049542737256
133537.5,459112.5,-0.3465825410726454,-0.28271551321637545
141137.5,459112.5,0.09168446343395287,0.18984606423347794
135287.5,459037.5,0.04353815859945942,0.08265738299693196
135312.5,459037.5,-0.29362093955528235,-0.22176932105251018
135362.5,459012.5,0.2231484281535293,0.22913698676061983
137287.5,458687.5,0.32359173307330613,0.377019918053536
137287.5,458662.5,-0.4909233881587828,-0.485392838752372
137237.5,458612.5,-0.4230283692956657,-0.3286175885964136
134137.5,458562.5,-0.08787501051656676,-0.05699195481773883
133737.5,458512.5,-0.2684196255390344,-0.18072135915563187
134262.5,458487.5,-0.4201549030948397,-0.33042178176264075
136087.5,458462.5,0.4027539227510687,0.4910761707819614
134587.5,458437.5,-0.030896666604634082,-0.01783261763708159
136012.5,458437.5,0.10686730799130684,0.11340785464306168
134562.5,458412.5,-0.0549746655816834,-0.04543102019412034
134587.5,458412.5,-0.49187800583469654,-0.45133879551450035
134537.5,458387.5,0.23853283057080432,0.24925228358175547
134587.5,458387.5,-0.02217076899926662,0.0421286672766623
136237.5,458387.5,0.23954492297657315,0.26511751617880036
136087.5,458362.5,0.34082653741922875,0.4033379328072149
136062.5,458337.5,0.0032504925347282,0.057751441809279304
136137.5,458337.5,-0.3693781969821114,-0.28006927944723636
136187.5,458337.5,0.1298816999443394,0.16706211625600886
137012.5,458187.5,-0.22003805846685753,-0.17760237276816526
134187.5,458062.5,0.2665858057063917,0.29598948956146953
134812.5,458062.5,0.05619810886578591,0.05674018933058276
134262.5,458012.5,0.22354493019436483,0.30615850790865906
140962.5,457962.5,0.062108296739528446,0.12908610682146576
140862.5,457937.5,-0.06706383817650086,-0.06005640981156327
140937.5,457937.5,-0.17770664020835614,-0.11820647253981453
127737.5,457912.5,-0.3996330442796262,-0.35917865543271654
140437.5,457912.5,0.2612664675503501,0.32641797602882794
126737.5,457862.5,0.39089710242900644,0.4401849154015696
140862.5,457837.5,0.22802094255559902,0.3006485717058658
132137.5,457762.5,0.03441325444732468,0.09232005670272565
132262.5,457687.5,-0.3688735812667744,-0.30114301728453635
129212.5,457662.5,0.1713875447245563,0.23632353794305522
137712.5,457662.5,0.19955353726688863,0.2174929542509071
137737.5,457637.5,-0.0445455806992443,0.02466908984272441
137762.5,457637.5,-0.14394022609015922,-0.08553689827340655
137787.5,457637.5,0.2879235833676935,0.3394620228611567
129362.5,457612.5,-0.23852104396541418,-0.22312690827653636
135587.5,457612.5,0.3404290331734532,0.34439520906148996
129412.5,457562.5,0.3638150107988004,0.39347807754773473
129412.5,457537.5,0.041148641348865644,0.13390250043962837
132387.5,457537.5,0.36229191910525327,0.4429341816707427
135712.5,457537.5,0.3738601207624531,0.3958970889302437
129337.5,457487.5,-0.2937162890388041,-0.29246596866666813
132512.5,457437.5,0.3646159616975412,0.38008505328550724
134887.5,457412.5,-0.11448065238717453,-0.06348846451994683
129362.5,457387.5,0.1752807051576215,0.2653018858836349
